date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:14	110777/110777	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:56%20GMT	http://www.saadstudio.in/img/portfolio/3.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/3.jpg	(from http://www.saadstudio.in/gallery.html)
20:45:25	605104/605104	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:23%20GMT	http://www.saadstudio.in/img/items/musicprod.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/musicprod.png	(from http://www.saadstudio.in/recording.html)
20:45:30	87441/87441	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:57%20GMT	http://www.saadstudio.in/img/portfolio/4.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/4.jpg	(from http://www.saadstudio.in/gallery.html)
20:45:42	98787/98787	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:58%20GMT	http://www.saadstudio.in/img/portfolio/5.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/5.jpg	(from http://www.saadstudio.in/gallery.html)
20:45:43	74642/74642	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:00%20GMT	http://www.saadstudio.in/img/portfolio/6.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/6.jpg	(from http://www.saadstudio.in/gallery.html)
20:45:52	51784/51784	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:02%20GMT	http://www.saadstudio.in/img/portfolio/8.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/8.jpg	(from http://www.saadstudio.in/gallery.html)
20:45:56	86995/86995	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:01%20GMT	http://www.saadstudio.in/img/portfolio/7.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/7.jpg	(from http://www.saadstudio.in/gallery.html)
20:45:57	16033/16033	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Aug%202016%2018:32:44%20GMT	http://www.saadstudio.in/js/jquery.isotope.min.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/jquery.isotope.min.js	(from http://www.saadstudio.in/gallery.html)
20:46:00	682/682	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2020%20Jul%202018%2015:15:59%20GMT	http://www.saadstudio.in/Popover%20requires%20tooltip.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/Popover%20requires%20tooltip.js	(from http://www.saadstudio.in/js/bootstrap.min.js)
20:46:07	98703/98703	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:32:04%20GMT	http://www.saadstudio.in/img/portfolio/9.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/9.jpg	(from http://www.saadstudio.in/gallery.html)
20:46:10	792169/792169	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:33%20GMT	http://www.saadstudio.in/img/items/videoedit.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/videoedit.jpg	(from http://www.saadstudio.in/recording.html)
20:47:58	4329990/4329990	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:54%20GMT	http://www.saadstudio.in/img/items/violin.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/violin.png	(from http://www.saadstudio.in/music.html)
20:48:00	682/682	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2020%20Jul%202018%2015:18:00%20GMT	http://www.saadstudio.in/Popover%20requires%20tooltip.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/Popover%20requires%20tooltip.html	(from http://www.saadstudio.in/js/bootstrap.min.js)
20:48:00	682/682	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2020%20Jul%202018%2015:18:00%20GMT	http://www.saadstudio.in/Popover%20requires%20tooltip.js	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/Popover%20requires%20tooltip.html	(from http://www.saadstudio.in/js/bootstrap.min.js)
